Action,Timestamp,Price,BTC Balance,USD Balance,Position Size,Stop Loss
Buy,2024-07-02 23:00:00,62110.02,0.21125507085032919,0.0,0.44882446991542785,62017.54714285714
Sell,2024-07-03 01:10:00,62042.02,0.0,13106.69133079754,0.44882446991542785,0.0
Buy,2024-07-03 13:40:00,60542.03,0.21648912880518772,0.0,0.12283060764264685,60204.75428571428
Sell,2024-07-03 15:00:00,60063.49,0.0,13003.092623099104,0.12283060764264685,0.0
Buy,2024-07-03 16:20:00,60560.01,0.21471417562677259,0.0,0.16403414341320954,60308.35
Sell,2024-07-03 17:45:00,60241.39,0.0,12934.680392460901,0.16403414341320954,0.0
Buy,2024-07-03 18:30:00,60411.61,0.21410918186853323,0.0,0.26448310817184245,60256.02285714286
Sell,2024-07-03 18:45:00,60302.05,0.0,12911.222590495385,0.26448310817184245,0.0
Buy,2024-07-03 21:50:00,60188.89,0.2145117245141983,0.0,0.17956580122631324,59960.12857142857
Sell,2024-07-04 01:30:00,59822.39,0.0,12832.604043460931,0.17956580122631324,0.0
Buy,2024-07-04 15:10:00,57593.46,0.2228135632667482,0.0,0.09980290297538906,57183.52
Sell,2024-07-04 22:50:00,58141.11,0.0,12954.627891383967,0.09980290297538906,0.0
Buy,2024-07-05 09:55:00,54528.0,0.23757753615360855,0.0,0.12356488863287904,54195.787142857145
Sell,2024-07-05 20:35:00,56316.89,0.0,13379.627970033796,0.12356488863287904,0.0
Buy,2024-07-05 21:25:00,56467.88,0.23694227532596934,0.0,0.2588873326535609,56307.182857142856
Sell,2024-07-06 00:20:00,56436.0,0.0,13372.074250296406,0.2588873326535609,0.0
Buy,2024-07-06 00:35:00,56880.0,0.2350927259194164,0.0,0.14610838909954818,56595.404285714285
Sell,2024-07-06 01:05:00,56402.14,0.0,13259.732840288552,0.14610838909954818,0.0
Buy,2024-07-06 05:35:00,56470.0,0.23481021498651589,0.0,0.22135317179211048,56282.93571428571
Sell,2024-07-06 09:25:00,56476.0,0.0,13261.141701578472,0.22135317179211048,0.0
Buy,2024-07-06 09:50:00,56680.01,0.23396505578560187,0.0,0.3973600450805074,56575.79571428572
Sell,2024-07-06 12:45:00,56587.18,0.0,13239.422725449895,0.3973600450805074,0.0
Buy,2024-07-06 12:55:00,56755.47,0.23327130804220095,0.0,0.30852041298279403,56621.54571428571
Sell,2024-07-07 00:50:00,57951.28,0.0,13518.370888319838,0.30852041298279403,0.0
Buy,2024-07-07 02:00:00,58163.01,0.23242213372932105,0.0,0.20558231913976482,57957.54142857143
Sell,2024-07-07 03:20:00,57960.02,0.0,13471.191519394122,0.20558231913976482,0.0
